,Dynamic,60_40,EqualWeight
2017-03-23,-0.009850091636053881,-0.008767591621901993,-0.014308792128456038
2017-03-24,-0.009081807862491353,-0.007786897182027741,-0.013146556836908685
2017-03-27,-0.008278146439583689,-0.0065962314414317325,-0.01091661068635752
2017-03-28,-0.003530003652313929,-0.004934345743999313,-0.011137354798027466
2017-03-29,-0.0006013599193251951,-0.00200764503714157,-0.008273573909226672
2017-03-30,0.0,-0.0033411619626478872,-0.010518048202160735
2017-03-31,-0.0008028209169607115,-0.0035770900982513565,-0.009840209968128177
2017-04-03,-0.0001409959550731088,-0.0006175563550504526,-0.006734617691112832
2017-04-04,0.0,-0.0024096265219019086,-0.007186294553689798
2017-04-05,-0.002267473721021762,-0.0029734673929857625,-0.007536918225742095
2017-04-06,-0.0018649504925187799,-0.0018860234885662575,-0.007910273250910316
2017-04-07,-0.002615408314586065,-0.004114389871872515,-0.009163877060477721
2017-04-10,-0.0019768825717123573,-0.0019150518554531537,-0.007863670110309195
2017-04-11,-0.0017107497789110582,0.0,-0.003917103517702136
