,Return
2017-05-05,0.0035257377132576337
2017-05-08,0.0006385970245803378
2017-05-09,0.000536246235096376
2017-05-10,0.0010172714027763198
2017-05-11,-0.000821882696829137
2017-05-12,0.0006652792474348555
2017-05-15,0.004055647714594062
2017-05-16,0.0019450184191754098
2017-05-17,-0.017320601456899322
2017-05-18,0.004807457258211536
2017-05-19,0.005188722963084555
2017-05-22,0.006357450804003956
2017-05-23,0.0007104492757720247
2017-05-24,0.0035058911731983017
2017-05-25,0.005766302475030844
2017-05-26,0.0016197965720149837
2017-05-30,-0.0002865010380554441
2017-05-31,0.00014844187272203613
2017-06-01,0.005361964267569499
2017-06-02,0.007343119309817138
2017-06-05,-0.0003291516079370518
2017-06-06,-0.002099850818599419
2017-06-07,0.0020552533969111376
2017-06-08,3.15249770255321e-05
2017-06-09,-0.0129955639549551
2017-06-12,-0.0026596762434200395
2017-06-13,0.005923589483737922
2017-06-14,-0.0030696945119656595
2017-06-15,-0.0032855197904946925
2017-06-16,-0.001841081674904239
2017-06-19,0.010405384947880953
2017-06-20,-0.006777343675059712
2017-06-21,0.004611307965232271
2017-06-22,8.296134674078668e-06
2017-06-23,0.0026878997550747667
2017-06-26,-0.0027131181603206457
2017-06-27,-0.011490533069124637
2017-06-28,0.01050831907782208
2017-06-29,-0.012330331476911933
2017-06-30,0.0007400649045992693
2017-07-03,-0.005655717479741736
2017-07-05,0.00581463066341964
2017-07-06,-0.008250981853801924
2017-07-07,0.006707056358993748
2017-07-10,0.0035781056953533017
2017-07-11,0.0010599769545224912
2017-07-12,0.00903029859257356
2017-07-13,0.0015642024765687356
2017-07-14,0.006438654784781969
2017-07-17,0.000611355154422695
2017-07-18,0.003932288191831508
2017-07-19,0.0050360164689907715
2017-07-20,0.0009293028129951063
2017-07-21,0.00027185558723663854
2017-07-24,0.001988425194106937
2017-07-25,-0.0003877663484644875
2017-07-26,0.002285164324005825
2017-07-27,-0.0033290213395839653
2017-07-28,-0.00015404493721646263
2017-07-31,-0.002117638983011231
2017-08-01,0.001954290543389064
2017-08-02,0.0012315341293449833
2017-08-03,-0.0024699757267076647
2017-08-04,0.0008518678958037968
2017-08-07,0.0035601969660923748
2017-08-08,-0.0015950929548703837
2017-08-09,0.0005915332810950099
2017-08-10,-0.015410351676645473
2017-08-11,0.004538905382568811
2017-08-14,0.009485435890615563
2017-08-15,-0.0005163073495131668
2017-08-16,0.0022977244877318325
2017-08-17,-0.015859254566850434
2017-08-18,-0.001177516077762379
2017-08-21,0.00015334563995937368
2017-08-22,0.011039609945841414
2017-08-23,-0.0028460943344985226
2017-08-24,-0.0026865922080150494
2017-08-25,0.00046737147384501244
2017-08-28,0.0029871853371519113
2017-08-29,0.0020641487604006665
2017-08-30,0.007335471331203434
2017-08-31,0.008662543052346181
2017-09-01,0.00016472290530086472
2017-09-05,-0.0045517446388189334
2017-09-06,0.001621754433923737
2017-09-07,0.0029767743345274567
2017-09-08,-0.004575121764927276
2017-09-11,0.006307743001106334
2017-09-12,0.0028459295745357728
2017-09-13,-0.0006436775061543228
2017-09-14,-0.0019358616679487502
2017-09-15,0.0010762445020781354
2017-09-18,-0.001604598408607299
2017-09-19,0.0015291007215377332
2017-09-20,-0.0027922973406136102
2017-09-21,-0.005180012615793449
2017-09-22,0.0005012426120272659
2017-09-25,-0.003522721079989529
2017-09-26,-0.0007514975943202996
2017-09-27,0.003637003406511688
2017-09-28,0.0006337638419443356
2017-09-29,0.003510130358619844
2017-10-02,0.001501688302098176
2017-10-03,0.001953876594535503
2017-10-04,0.0012607961947737761
2017-10-05,0.006404525312697303
2017-10-06,0.0006215218326035292
2017-10-09,-0.00035960256731879545
2017-10-10,0.001782991445102465
2017-10-11,0.002378225739143443
2017-10-12,-0.0013903638392808576
2017-10-13,0.003090929833989471
2017-10-16,0.0013812198045345947
2017-10-17,0.0001377575262499984
2017-10-18,-0.0005236909580815402
2017-10-19,-0.0009021053748916915
2017-10-20,0.00278545925226919
2017-10-23,-0.004493489478903563
2017-10-24,0.0011136016279076526
2017-10-25,-0.003876450942678365
2017-10-26,-0.0017874203566650582
2017-10-27,0.01702471470321661
2017-10-30,-0.00042837560980671667
2017-10-31,0.001960677073558206
2017-11-01,0.0008048631229679398
2017-11-02,-0.0006179840653121383
2017-11-03,0.005328300920753148
2017-11-06,0.0030766730669559714
2017-11-07,-0.00041459075808774216
2017-11-08,0.0029214171287680786
2017-11-09,-0.0035836069265969073
2017-11-10,-0.0009978960338910454
2017-11-13,0.0011231237658102793
2017-11-14,-0.002477171751168853
2017-11-15,-0.004496423028198821
2017-11-16,0.00950742880420881
2017-11-17,-0.0018367070602433452
2017-11-20,-0.0008662216140068703
2017-11-21,0.007953631900890532
2017-11-22,0.0010781255531568529
2017-11-24,0.0024251372437825445
2017-11-27,-5.964796350469575e-06
2017-11-28,0.005667509546757084
2017-11-29,-0.00882268183112143
2017-11-30,0.006891623044081441
2017-12-01,-0.0024497370728598874
2017-12-04,-0.00609753586657352
2017-12-05,-0.002039474409519004
2017-12-06,0.001904503395492984
2017-12-07,0.0016124730540373498
2017-12-08,0.004420653105474077
2017-12-11,0.0044330323794584715
2017-12-12,0.0003053434848410342
2017-12-13,0.0016760583942517747
2017-12-14,-0.002361311313346755
2017-12-15,0.00902207619126982
2017-12-18,0.007061864374346151
2017-12-19,-0.004330295354326194
2017-12-20,-0.000454212218584997
2017-12-21,0.0011244472025246448
2017-12-22,-0.00010942157059670601
2017-12-26,-0.00229106246442989
2017-12-27,0.0006537371327300287
2017-12-28,0.001977020399733102
2017-12-29,-0.003843873345265821
2018-01-02,0.01223383018876625
2018-01-03,0.0069247865807096735
2018-01-04,0.0031908268530582546
2018-01-05,0.00738203872145882
2018-01-08,0.0025537062001618712
2018-01-09,0.000581194171459248
2018-01-10,-0.0015020658753410053
2018-01-11,0.006668186195952188
2018-01-12,0.007423292586354994
2018-01-16,-0.0026632317645855844
